sentence,label
anurudd yadavakhilesh bjp haar jaati lekin tum logo ne usse jitaya itna kichd uchhala ki kama,0
indiakaboss tera aur mera rasta kabhi bhi ek nahi ho sakta tu khud ko bhagwan bolta hai aur main bhagwan ka bhaga,0
rishibagree shi h bhai kuch maha gyani bne h khi se bhi log,0
imuday yes casting flop sabke sab boring hope casting good season good c,0
iamkhalid bjplao kavyakishan sanjayazadsln fir ye bhi afvaah hai ki inko peetne wale hindu hain aur bjp,0
frndship goals like days baby shona one best frnd knows importance h,1
usmananiskhan askanshul isliye daar ke izzat se release karv diya darrpok action toh kuch le nahi sakte bas bh,0
akhileshpsingh hadd hai kamine pan ki aapko pata hai ye kev jail gaya hai ye bina order ke railway platform pa,0
rt hummingbirddab realdonaldtrump dear trump voters freck thinking really screwed pooch,0
dear students agr tumne kabhi tumhare tuition teacher ko fees ke liye nahi rulaya,0
join us first finally friday yoga class book using link bio love see sa,1
anilkumar vinodkapri sach cctv ne muslimo ko badnaam hone se bacha liya warna yha sajisho ki lambi kitab,1
dibang abpnewshindi doglo congress ne apne media prabhari nhi bhejane ka nirnay liya aap log ye berojgari k,0
myogiadityanath harbar sirf nirdesh hi diye jate h aise logo ko jo asi sharab bechate h raste p lake golise uda,0
rt umedsinghshekh gurmeetramrahim ji good night aapki kirpa se hi sab kuchh horahe h dhan dhan,1
saru vk avneil sruthi tweetx kharach love u tar javal pan rahate,1
rt usp happy birthday prashant bhai srkzcigarette bahat saari subhkamnaye,1
angelfirecool haa tum logo ka sc toh bohut acchi hai iss liye apna dukan band hote hi shameless person ki tarah,0
destroying image one post time luv parents jana,1
hello modiji aap hme bahut achchhe leader lagte ho aap hmare desh ke sabse achche leader ho modiji aapse nivedan h,1
congress opposition ko jab news debate main jaake govt ko pelke hawa nanga karna tha gdp unemployment data pe ye,0
haraam zaada murdaar ho gaya lekin ayen ki grift mein nhe aya peti band bherriye isey baccatey rahey aur dubai ka,0
gurmeetramrahim guru paa plz always without nothing pita g love u sohne rabb g,1
sale bhosdi ke shingham return golmal bhull gya kiya sale dekh kiya kar fir bola kar,0
aajtak reporterravish ye kisan gareeb hain itna dudh fek diya aur ye gareeb hain sarkar aise kisano ki koi ka,1
br sharma acharyapramodk ne tum jyse bhagton ki aur na tere modi ki aukat hai asad sahab ke sath khade hone ki,0
dil ke dariya mein mohabbat ki kashti hai sapno ki duniya mein yaadon ki basti hai mohabbat ke bazaar mein,1
kajal jaihind watched movie kesari say one thing sikh ke naam par dhabba hai sidhu iss ek ak,0
emir izzat get well soon jat selamat hari raya aku maafkan semua salah kau,1
rt jagmoha amitshah narendramodi badhai ho sir ummeed hai sabka sath sabka vikas k tahat dedh k,1
bdutt sushmaswaraj looking forward appointment governor complicated state,1
shekhar b khud ki skal dekh le bc phle,0
rt bilal ali girllitasf happy birthday may u many many stay bless always phalo phulo muskrao,1
babe classroom happy birthday angesp thank everything ayieee sorry sa lahat ahuu stay g,1
utkarsh jeevan jena g surbhiranaa utkarsh chudail apni behen ko bol jake madarchod nahi teri poori family,0
rampuniyani chutiyani fake news,0
eimman f lsyed rrkashmlr awgoraya iss jaisa insan jo blasphemic pages run kurta ho uss ko serious reply kurnay,1
sy kuch arse bad chats archive ho jate hai yaddon ko bhulane ki koshish,0
pandajay nitin gadkari bjp india happy birthday nitin gadkari ji jio hajaro shall,1
kisno ka vote kisi sansad ko nai diya bo modi ko diya chalne kamal ka fhul modi ne kisan ke leye acche kam ki,1
rt falak janbaz happy birthday iqrar bhai waseem bhai ki taraf se apko salgra bht bht mubarak allah pak apki,1
anjanaomkashyap u sud b appointed spoke person bjp kahi se,0
barooq jawansnow yeh th gen ka dg ispr hai fauj kab iss cartoon,0
tajinderbagga isi liye tu sala bkchod haa kitno juta khayega pr teri bkchodi nhi jayegi chay pakore tikki et,0
congress thought keep loot india surrounded worst kind corrupt tycoon lo,0
miss anjali shah ko dher sari subhkamnaye uttrakhand ki pehli mahila shayak train lokopilot chunn ke liye ap bhed,1
samkhan shahid siddiqui pura sarkari hai ye shahid siddiqui musalmano k naam pe rs saansad raha hai aur ye b,1
zeenewshindi ghanta mat sale ko marne aur publicly iski maut dikhao chutiye darenge tabhi,0
ye baji nh ye baja hy balky bech wala hy sala koi,0
rt iqrahussain one literally one pakistani eid sa aik hfta phla cutting krwaon ga eid tak,1
nawab zadii dosti far better muhabbat jb one chor k chala jata ha tou dost hi yaad ata ha aaj,1
kunalkamra bhar jholi meri ya muhammad,1
kuch lrkion ko pta ni kiun lgta hai k wo stupid batein krain cute lgti hain,0
new post love vashikaran totke true lovers published vashikaran,1
talathussain let defend infront sjc tu,0
sarwarh surjits sambit patrag anjanaomkashyap tera naam sarwar nahi suwar hussai sarwar naam,0
sardanarohit bhasad jayen sale aaise bhee kuch sunn nahi pate thee unki wajah se desh national party,0
date crush crush favorite song bade aache lagte hai cr,1
happy th anniversary beautiful haina ida may brown love meetday stplace el paso texas,1
rt sunoo chanda attention plis follow sed potatoo bhot ziada interactive hy bomb tweets good,1
manhattanmango sawian halwa puri lots channa chaat guests home,1
nitishkumar mananiya cm sahab ab apki sarker hai modi ji bhi saath hai mera app se binarm niwedan hai ki kri,1
lsqnjzqdr j icg bhosdi ke fake news dalta h teri amma ka statment dekh usne kya bola h ki tu uski jhuti pic use,0
thewirehindi tabhi ye bjp h bhajpa jaane se pehle kam se kam murder rape,0
priyankagandhi robert wadra ki ghotale k khabar bahat dukh lagta ab usko congress party v nahi bacha payegi su,0
shoaib mph shaiby bhai inshallah ye hi team uthe gi,1
ppbajpai last saal whatsappfacebook chalana sekha gaya hai agar samaj hoti neet ug ke exam jo b,1
geonews urdu come back nahi sedha back pakistan player short pitch balls nahi khel sakte yeh,0
ayushiprime karanku sudhirchaudhary modi ji prime minister h,1
ye lo bhai modiji note ban se nakli note band hoga hua kya aatankvaad khatm hoga hua kya fake currency worth r,1
renu tej pratap ji abhi aapko ko party chalani hai abhi party suru hui hai,1
bas din fir blockbuster bharat aane vali sub record tutege intzar karo jawab milega excited bh,1
bjp india narendramodi amitshah bahut bahut badhai punh pm banane per modi ji ko bjp ki hamesa jit hote,1
sugaminiee really th maths easy yaar,1
heartbreaking captain worry bad day us bounce back insha allah tumha,1
sanjayazadsln chutiye zahil tere kejriwal ne saniko ko bahaut bar gali diya aur unke prakaram ka saboot manga p,0
thisnmore neerajcnbc cnbc awaaz one cnbc awaaz mumbai another good one,1
kakkajirj r even hindu apne dharm ki jankari badhao dusre ke dharm,0
bushraaamir beshak appi st time appko comment kr rhi hun appki transmission bhott achi hai app bhottt cute hn al,1
manakgupta manik bhai aap log ko samajhna hoga modi ji ko samajhne ke liye aisa insaan chahiye jo barat kuch le,1
iqrarulhassan ptm ptm hey kab tak mulak dushamn ko bardsht karyngy yar kab tak yahi rehty ha yahi khaty phet,0
saqibjawaid pak watan ka na koi kch bigar saka hai na koi bigar paye ga imrankhanpti shb ko na hi k,0
rt nalini om dr sonkala yudhishthirsah kamal special spiritual day special benefits,1
waglenikhil abe hai kon tu chutiye let u trample constitution khud sala pagal kutte ki tarah bho,0
byadavbjp narendramodi mera bharat desh jaat paat se mukt yahi sangharsh desh ka vikas aur vishwas vikas ghar gha,1
ndtv unless congress party come family based politics modi ka kuch ukhad nahi sakenge,1
subject fail aithe suicide cheskokandi life manam suicide cheskunte mana vallaki manam inka,1
republic bharat jai shree ram keh kar begunah logo ki hatiya karne wale aur jai shree ram keh kar gunda gardi karn,0
mukhtiar gmail fawadchaudhry yes youthiya better chutiyaas like beth,0
assalamualaikum good morning friends aur allah taala se bakhshish maango allah behad b,1
thank dear aib every funny video made every smile face new,1
vikrantbg ameytirodkar aap savarkar ki baat krr rhe hai ask pm shoot population gave,0
zaidicpi jis paper article k adhar pe aapne ye post daal hai wo fake hai iski pushti pahle hi ki ja chuki hai,0
ayub httweets bdutt tera naam define karta hain ki tu saala rohingya hain obvious,0
sherryontopp sorry andheron ko chiragon se roshan karna tumhari fitrat nahin tumto aag ka gola ho swarth ke,0
crazymi kyunki mama ke saath scene jabardast aur vo actor bhi kamaal thr yaha pe scene,1
flyingbeast aap ka content hi kaafi bhai baaki sab moh maaya love videos aur haan r,1
sonamjain rahulgandhi chor jumla bazz sob,0
xkaminaysabel ikaw greciasophia proud,0
fortnitegame love removing drum gun yayayayyayay,1
fav ram bhajan sri ramachandra kripalu bhaja mana chanting ram naam brings kripa shraddha true bhak,1
mtljer budday good see dude combobreaker mk,1
kanhaiyakumar abe jnu ke zhandu amethi gram pradhan ko goli maar di wo nahi dekha tune dogla kahi ka ac,0
romanaraza delete ne ka option hota kisliye hai,0
modikaka kisiko bakshna nahi yaad gaali di aapko ham nahi bhoolege pruvthiraj chauhan ne mohmad,0
luv friends always,1
sanjaynirupam chup chor let people work earn money ye tere congress ke workers aur tere tarah haraa,0
cho te andrea nam si co w powy szym,0
bhak sala surprised bjp invite,0
official sattar tahirmughalpml masha allah yeh banda sacha karkon hy bht mehnti hay masha allah jis trh party k liye,1
jokers liemind siddhis seriously u proving u real moron bc mkl actly u get points,0
smritiirani respected madam woman child department wish happymai apki jeet ko dekhane ke li,1
anjubalabjp narendramodi amitshah bjp india congratulations di bahut bahut subhkamnaye deepak sahu yuva morcha,1
drsjaishankar harshvshringla indianembassyus really like ur reply,1
sp sp inn bhakto ko pata bhi hai gdp ke baare bas dinbhar pakistan ke khilaaf news chalate raho gawar,1
bluff thelinguist dj rocks apni maa ke baare main aisa nahi bolte tere abba linguist ne sikhayea nahi,1
rt divinajayy miss feeling heart skips beat someone,1
rt scarmigli honkposter late happy chenpai day hue,1
omarayubkhan alihzaidipti yeah yeah u done amazing job covered gap months get life man sirf kis,0
rt shubhansh mere pet pe laat,0
weirdlyprobable nishupedia actually inke pass ab naaz karne ke liye kuch bacha hi nahi hai haqikat pasand ban,0
rt akhileshq narendramodi thank much sir warm wishes sabka saath sabka vikas sabka,1
narendramodi ahamadabad ki jo ghatana bjp k neta dvara ki gei esse pure desh ki janta ko thesh pahunchi hai es ne,1
rt chelseafc love nglkante,0
agr koi tumse kahe teri maa ki ch sidha yhi bolna k kash bhgwan ne teri maa ko bhi inni achi di hoti tere,0
rssurjewala manakgupta aap log kyu seriously govt k kaam k hi piche pde h ab bhi insab se koi solution nhi nikaln,1
carryminati journo anshulg hahaha hahahaha hah nice u yrrrr ur ga faadu type person love uh,1
aaaj kal ka piyar bluetooth ki tarah hogaya hai pass rahy connect warna searching new device,0
msisodia kya tum jaise choro ki puja kare kya gandhi ki kuch nahi tha agar sc bose nahi hote aaj bhara,0
rt joshijubin humorouslyvipul one two sindhi se tum saans lene ki hawa nahi chura sakoge fans,1
vsupportnamo indifferent kay httweets gyan mubarak ho aapko chai aur,0
talhayyyy sjames opsbutnotyour ifnatic bkwas band kri bc talhayyyy ifnatic sallo gashtooo heera,0
javerias muslim people duffer allah allah wrost illusion nothing else open eyes,0
antani harsh aroraups bilkul sir patel ji wali reflection h shah ji ki hume toh proud h apne pu,1
aieshahere mediacellppp jo chor hota ha wo motorway ni banata metro ni banata pore mulk ki security teak ni krta,1
said dadmom thank much support herei miss cry baby,1
rt imaan zindagi asaan nhe hoti zindagi ko asaan banana parta hai kbhi dua kr k kbhi sabar kr k kbhi maaf kr,1
rubikaliyaquat standing voice muslim community wrong miss know call u ur bjp mem,0
tinkerbell bahut kam log apke brother ki tarah hote wish,1
rt beingsksana aliabbaszafar bharat thefilm best wishes bharat,1
arunjaitley ur great leader sir pray god good health aap jaldi thik ho kar vapas aaiye aap jais,1
narendramodi abki bar nrc bill rohangiyas bhagao family planning hm hamare ye kam bht jaruri hai,1
special ff special best friend follow ashvatthaama good launda sbki hlp krta h anyhw conditi,1
rt hariom dipika ritika mahor medatwal sweta bharat way vishwaguru programs,1
rt keshaboinasri homeministeramitshah great see chanakya indian politics next home minister,1
akhleshgautam maar khane waale hindu ke musalmaan agar hindu hai hum chahenge char hamare se bhee k,0
narendramodi desh ke loktantra ki takat ka yahi rahsya sayad congress aur unke pichlaggu nahi samajh paye isliye j,0
rishav sharma abhi sirf ben stokes,0
adelzown gulbukhari fake nahi actually ye news hi nahi hai defamation sath picture jo lagai wo bhi g,1
shri shankarlalwani ji ko bahut bahut badhai aur subhkamnaye indore modiphirse electionresults,1
waglenikhil tvmohandaspai block karane walo mai dum nahi hota bhagode hote hai jab jawab nahi de sakate,0
oye tu nomi niii hoon q k moo py baat maarti hoon baad byshak,0
iss saal mera record sahi h saalo st day films dkhi,1
kohli bhaiya overconfidence mai mat ratna warna issi tarah,1
ansarraza jabtak desh se kathmullo ko puri trah se sidha nhi kiya jyega rss apna kaam krti rhegi aur govt apna k,0
duh dhanush tod diya rupaye ka nuksaan kar diya jaao main nahi karta naatak vaatak,0
omarabdullah sugar pakistani kutte mera bus chale har pakistani musalmano ko goli maar du jo india rehte,0
gulfoilindia hardikpandya cheerwithpride hardikpandya wish indian team best small mauka mau,1
kya baat hai hamare india ki jcbkikhudai,1
thewirehindi aub aap batyenge ki jai shri ram kehna kya hota hai tumlogo ki dukan jis din bund hogi usdin bharat,0
shahid maqsood na naam na kharab kere ye jo bhi,0
bachpunn iffat nishacharr brahmaandkimaa hot,1
rt sk shafiq alfiyasayyed walekum assalam aameen aapko bhi mubaark dua,1
rt swatic nafrat hai muje un logo se jinhe stop baad utarna hota hai lekin lenge window seat phir sabko,0
roflgandhi shayarimran nehru gandhi ke nikammepan ko sirf saal hi thoda hi theek kiya ja sakta hai iske l,0
rt thehumorist yeh pubg wale bohot chalak hain elite pass k liye pehele paise khich te hain aur bad main majdur,0
rt roshankrrai bjp mp rameshbidhuri says sunny deol se bada rashtravaadi koi nahi hai kyuki isne handpump ukhaad,1
narendramodi congratulations modi ji created historical day indian democracy apna,1
b election media ko gdp kabhi kam hotey hue nazar nhi aaya modi saab ko khud media walo ko batana pada k gdp apne,0
rt amilevan kam da vonne made hugged thechallenge,1
rt pradeep mitthu bkl mc ko mar mar kar huroo ke pass bhej randi ke suwar ko sabse badya zinda,0
jo khan agr iss nay mazahmat ke hoti jaan say jaty kuch nahi kar sakty thay allah musalmano par raham kara,1
roshni tariqnazeer lanat ho tum per mitoo gay tum aur tuharay aba pakistan mitanay key liay nahi ban,0
rt sippy sippy dhan dhan satguru tera hi aasra gud morning sohne saint dr gurmeetramrahim ji bless apna v,1
sachinyadavvv pagal aurat iammafiaa imrankhanpti itne kalay log pakistan mei nahi hotay hamary bhikrai bhi amb,0
rt mukeshjrao remembering atalji words historic occasion smritiirani hope like,1
rt abba jega lool nothn doin amma sure one best live chat ever happened,1
gssjodhpur congratulations gajju banna hume aasha aap modi ji desh ki janata ke bharose pr khare utarog,1
aajtak sardanarohit sach balun aaj tak bjp k aur modi highly qualified chamche hai bjp kuch v bole sab sa,1
dil jigra ek hi lekin ispe har bar kurban kar du bharat ki salman khan,1
narendramodi sale feku gappu election k time jisko gali deraha tha aaj usikoi tribute deta hai biggest,0
badhai ho modi ji,1
rt akashvaniair didyouknow veteran actor sunildutt holds entry guinness book world records film,1
awasthis abpnewshindi abpnewstv rahul gandhi ko chowkidar chor hai ka nara bhut bhari pad gya kuki wo khud bail,0
aparshakti kinna pyara gaana hai paine neetimohan sound good heart warming video,1
srbachchan one kind word change someone entire day waiting love n smiles long,1
khanumarfa ye india gandhi ka nai h nehru ka tha ab hmlogo ka h gandhi se aajadi ke bad congress ko bhang karn,0
iihtishamm jos buttler bowled wahab nice sweven dream always pakistani first engla,1
rt nctsmtown crazy day haha super cool meeting beberexha,1
n loves angel kaiko g n nhi rha aaj jagrata karunga,1
dhruv rathee baba ramdev ka pura business model hi hai nationalism,1
abhinav modiledubega abey khandaani chor tu chor hai har koi chor dikhega rahi chatne ki vo tumse,0
smritiirani debasreebjp bhut,1
paksarfrazbugti tum respected family se hote tu nawab sahab tmay dera,0
shayad shair hume unse shikaayat nahi shaayad meri kismat chahat nahi meri taqdeer ko likh kar uparw,1
narendramodi ye jo gaurakcha ke naam pe muslimo ko mara jata hai dahst failayi jati hai plspls isape koi action lo,1
incorrigble saale ameer gareeb kuch nahi hota buss khwahishonse ameer raho aur unhe paane koi kasar na ch,1
aamirkhanindfc tum jio hajaro saal thanks imrakhan,1
kehte hai khaana khilaana neiki hota hai aiyye iss ramzan hum aur aap milkar thori neiki kare every follo,1
shahidkapoor set steal hearts second song kabirsingh kabirsinghmovie advani kiara,1
srf day left us insan ke brday mae jo mere family ka aik member hae mere bheno tara lucky sis like u,1
rt tarak saw ulaganayagan ikamalhaasan sir vishwaroopam vishwaroopam trailer cant wait share,1
stalked mama fb happy see living life,1
zehriiibaloch issued scholership yay social media ki mehrbani hai k ab koi kam chup nahi sak,1
sanjayazadsln ha bhos r ke mathura tumhare jija lagte na topi wale tabhi pet dard nahi hua jamanat,0
srisri loving guru ji please accept deep obeisance infinite pranam love,1
sherryontopp sardarji ab politics chhod ke world cup dekho chupchaap,1
best moment prithvi singh says launda serious h totally loved,1
theorignalmalik ashraffem bjp congress sp bsp koi bhi ho yeh kbhi musalmaan ko aage laane ki baat nhi krenge,0
lillyana chrisc yayyyyyy happy going,1
munirahmedap ye qanoon e fitrat hai social system jo khuda n design kiya mard ko hi agay chalna hai wo dun,1
aapne kaam kiya hai isse koi inkar nhi kar sakta lekin aapko vote isliye nhi diya kyuki aapne itne galat decisi,1
narendramodi congratulations sir salute desh k liye aap bahut special imandaar h bas ab duniya bhi desh ko,1
sanjaynirupam jo byakati balasaheb thakre ka nahi hua wo kishka hoga hindu hridaya samarat balasaheb thakre ne n,0
aamir khan paanifoundation great work sir bas desh ke,1
rt amitave ani piyushgoyal bjp ki yahi baat achchi hai ki log apne karyakarta ko importance dete,1
kuch seekho ye attitude chaiyai agar world cup jeetna hay,1
chitraaum u r good seriously iam saying kya reporting ki thi aapne elections result wale din,1
amitshah narendramodi fortunate blessed privileged see sh narendra modiji pm sh amit bhai,1
pmoindia congratulations modi ji dobra desh chalane ke liye auor modi sap se vishesh nivedan ki kripaya bank,1
pledgeagainstcorruption gurmeetramrahim good morning guru g bless us give us power sewa,1
maryamnsharif hamare ilaqe mein ayub zia k bad koi naya hospital nei bana jo hain unki bhi halat khasta hi,0
rt kmshettyp kareenakapoorkhan bebo beauty queen comes back bang dance india dance show,1
hamada najar hello good morning would love follow back usa freepalestine,1
vasundharabjp narendramodi congratulations hon p narendramodi aapko jeet ki bhut badhai ho congress vale aa,1
vandana pahli bar sunne aaya vandna ji happy,1
imrankhanpti pakistan hindu ladkiyo ki kidnapping aur jabran nikah pe koi kuch nahi kar sakta lekin pakisan ke,0
sushmaswaraj u r shashakt u r example true women empowerment love u bhagwan aapko swast rakh,1
ranaayyub aap jitna bjp ko hate karogi utna bjp aagey badegi aap mamataofficial,0
rstyclinomaniac meeru muhamad lrshadbhatti aby islam ko par ja ka ke jhaga teri maa bhn,0
jis din mamta ke speech ke dauran koi aadmi allahuakbar bolkar fataka fodega na tabhi asli maza aygaa,0
mujhy ye wala best lagga baat sunoo btw nice attempt improve best luck https co xpxjikacqc,1
ever touching feet hon melaniatrump kinds hon st lady usa right happy,1
sharm ani chaheye called president ko shkal sy hi bewakuf lagta ha jese koi pagal bat krta krta,0
aspalod ysaumitra srbachchan loved amit ji jai dry sense humor one liners roles wer,1
fawadchaudhry sir ji ap chha gaye,1
pintupa ibhagwa n mother gave birth son became cm pm say son,1
israel america india tumhare kabhi dost nahi ho ae musalmano per bharosa mat karo ye tumhare mulk,0
nsvirk drkumarvishwas rubikaliyaquat problem police ke misconduct aur misbehaviour pe hai rural area ke case,1
vigyan prankies sirf awwal shriman ne flirting ko kala,0
kavita sharma evm dhandli ho sakti hbut etne bade level pe nahi congress ko agar vote lene h andar hi,1
rdhn lol modi ke interviews,0
marvisirmed ashrafghani reporter madam app thakti nahi hain bakwas ker ker k ms nahi kyun kay,0
loktantra vijay hua har har modi ghar ghar modi sabka sath sabka vikas sabka visvas,1
thequint apko baar ke sarkar mein hum sabhi miss kar rahe h aapki sundar karyasaili ki mein fan hu aasa karti h,1
aapkadharam hello sir ji sir ji mere dada aapke bahut bade fan mera pura family deol parivaar ka fan,1
whatsinaname meri bhi yahi aadat hai abba bohot chillate hai ki eye sight kharab,0
icc world cup ke joh warm match hue hai ji woh bhaut interesting hue hai ji amazing superstar jai hind ji,1
khaaksar waalakum us salam brother,1
yo boys give best funniest pick lines love hear girl say girl wants fresh,1
congress cwc ne aaj kaha ki cong sanvidhan ki raksha ke liye ladti rahegi kya unka aarth ki modi sarkar sanvidh,1
beingzehraaa haaayeeeee sachi lucky sis eye lashes omg blessed one allah,1
rt coolguym pakistani fauj ka captain jo mulk ka sara budget kha raha hai aap bhi iss ki iftar ka manzar apni ankhon se,0
rt aparanjape swachbharat great initiative last term modi govt needs continue addition,1
marley de rasta song definitely dance,1
nicoler course nic wo smart momo ka chotu hai,1
kisko pata tha fair lovely vely ghis ghis kei itti gori ho jayegi yeh ladki way die hard fan,1
maryamnsharif lanati ko marney haram khor ns nasle harami baddiyanat e azam na ahle azam iblees ka chela lo,0
cogratulations modiji today happy got prime minister please give,1
amitshah amit shah ji please jet airways ke employee ke bare mein kuch kariye parivar wale bahut pareshan hai,1
kailashonline vijyendrajadon bahut bahut badhai dada aap ko v modi ji ko v hum saty kk sath chale jite v,1
iveenakhan media walon ny apki mistakes say entertainment deliver ki sath nahi,0
smritiirani namoindiapm smritiirani namoindiapm smriti ji love u nari shkti aage congratulations god k,1
namastey vav kpopers welcoming gladly sharing love vav idols vampz fandom,1
sardanarohit tumhe bjp ki chatna hai uske liye congress ke spokespersons ki kya zaroorat ab koi rukawat nahin l,0
rt rahul https co bfquhjib c gud nyt guys emotional song jise sunkar sari tension chli jayegi,1
dhan dhan satguru tera hi aasra gud morning sohne dr gurmeetramrahim ji bless apna v khyaal rakhna sohne g,1
anavrittim devahoothi say chalta hae bhai attitude metros r govt controlled except lin,0
vande mataram deshmera desh ki baag dor bahut samay baad sahi haathon mein aai jai sri ram jai hind,1
anamkha baishak dil ka sakoon allah ky zikar allah p hi bharosa,1
allah swt farmatay hain jab mai apnay banday say khush hota hon tw unko beti kay roop mai naimat ataa krta hon,1
mamataofficial ye apke liye ek achha mauka tha un bengali bhai bahano ko samjhane ka ki ye sab political viole,0
horuspk ayeshakhalid shabazgil look face face corrupt policeman embarrassed,0
ahmernajeeb bachpan ly k ajtak team ka yehe randi rona dekhty aa rhy hyn k ye hamesha possessive khelny lag j,0
thechahatt allah se duya kartahu ki tumhara din kate hamesa gd gd,1
maryamnsharif ye thi okat tere chor bap ki,0
zensays ashraffem maine islamic terrorists ka bola tha tere jaise jihadi ko mirchi kyn lagi tera bhi,0
